port,sequence,sub_area
Taicang,1,FE
Incheon,2,FE
Masan,3,FE
Hiroshima,4,FE
Mizushima,5,FE
Kobe,6,FE
Gamagori,7,FE
Nagoya,8,FE
Kawasaki,9,FE
Kingston (Jam),10,CA
FreeportTx,11,US-E
Mobile,12,US-E
Jacksonville,13,US-E
Brunswick,14,US-E
Baltimore,15,US-E
New York,16,US-E
