port,sequence,sub_area
Gothenburg,1,EU-N
Bremerhaven,2,EU-N
Newcastle,3,EU-N
Antwerp,4,EU-N
Le Havre,5,EU-N
Southampton,6,EU-N
Santander,7,EU-N
Port Elizabeth,8,AF-S
Durban,9,AF-S
Tamatave,10,AF-E
Port Reunion,11,AF-E
Port Louis,12,AF-E
