Port,Sequence,Sub-area
Gothenburg,1,EU-N
Bremerhaven,2,EU-N
Newcastle,3,EU-N
Antwerp,4,EU-N
Le Havre,5,EU-N
Southampton,6,EU-N
Santander,7,EU-N
Port Elizabeth,8,AF-S
Durban,9,AF-S
Fremantle,10,N-W
Melbourne,11,N-E
Port Kembla,12,N-E
Brisbane,13,N-E
Noumea,14,N-E
Auckland,15,N-E
