Port,Sequence,Sub-area
Taicang,1,FE
Kobe,2,FE
Omaezaki,3,FE
Hitachinaka,4,FE
Yokohama,5,FE
Newcastle,6,EU-N
Bremerhaven,7,EU-N
Amsterdam,8,EU-N
Zeebrugge,9,EU-N
Bristol,10,EU-N
Djen-Djen,11,MD
Barcelona,12,MD
Livorno,13,MD
Valletta,14,MD
