Port,Sequence,Sub-area
Gothenburg,1,EU-N
Bremerhaven,2,EU-N
Newcastle,3,EU-N
Antwerp,4,EU-N
Le Havre,5,EU-N
Southampton,6,EU-N
Santander,7,EU-N
Baltimore,8,US-E
Jacksonville,9,US-E
Auckland,10,N-E
Noumea,11,N-E
Brisbane,12,N-E
Port Kembla,13,N-E
Melbourne,14,N-E
