Port,Sequence,Sub-area
Veracruz,1,CA
Altamira,2,CA
FreeportTx,3,US-E
Port Arthur,4,US-E
Jacksonville,5,US-E
Brunswick,6,US-E
CharlestonSC,7,US-E
WilmingtonDe,8,US-E
Sohar,9,ME
Jebel Ali,10,ME
Abu Dhabi,11,ME
Hamad Port,12,ME
Bahrain,13,ME
Dammam,14,ME
Kuwait (Shuaiba),15,ME
Kuwait,16,ME
