Port from,Port to,Commitment number,Port from min target date (max 10),Port from max target date (max 10),Port to min target date (max 10),Port to max target date (max 10)
Mumbai,Veracruz,1,8,15,25,30
Mumbai,Veracruz,2,24,29,11,17
