from_port,to_port,distance_nm,port_time_days,sailing_time_days,total_arc_time_days
Abu Dhabi,Jebel Ali,56.04290000000004,1.1,0.16679434523809536,1.2667943452380954
Antwerp,Abu Dhabi,11022.0,1.454667071691177,29.629032258064516,31.083699329755692
Antwerp,Bahrain,11195.0,1.454667071691177,30.094086021505376,31.548753093196552
Antwerp,Dammam,11227.0,1.454667071691177,30.18010752688172,31.634774598572896
Antwerp,Durban,6998.862100000004,1.454667071691177,18.814145430107537,20.268812501798713
Antwerp,Hamad Port,11144.0,1.454667071691177,29.956989247311828,31.411656319003004
Antwerp,Jebel Ali,10999.0,1.454667071691177,29.567204301075268,31.021871372766444
Antwerp,Kuwait,11387.0,1.454667071691177,30.61021505376344,32.064882125454616
Antwerp,Port Elizabeth,6627.301100000003,1.454667071691177,17.81532553763442,19.269992609325595
Antwerp,Santander,776.8538,1.454667071691177,2.0883166666666666,3.5429837383578437
Antwerp,Sohar,10773.0,1.454667071691177,28.95967741935484,30.414344491046016
Antwerp,Southampton,249.6427000000001,1.454667071691177,0.7429842261904765,2.1976512978816536
Bahrain,Abu Dhabi,240.4351,1.0,0.7155806547619048,1.7155806547619048
Bahrain,Hamad Port,134.4206,1.0,0.4000613095238095,1.4000613095238095
Bahrain,Jebel Ali,257.5896,1.0,0.7666357142857143,1.7666357142857143
Bremerhaven,Abu Dhabi,11227.0,1.404063631182796,30.18010752688172,31.584171158064517
Bremerhaven,Antwerp,327.741,1.404063631182796,0.9754196428571428,2.3794832740399388
Bremerhaven,Bahrain,11487.0,1.404063631182796,30.879032258064516,32.28309588924731
Bremerhaven,Dammam,11434.0,1.404063631182796,30.736559139784948,32.140622770967745
Bremerhaven,Durban,7205.3993,1.404063631182796,19.369352956989246,20.773416588172044
Bremerhaven,Hamad Port,11352.0,1.404063631182796,30.516129032258064,31.92019266344086
Bremerhaven,Jebel Ali,11206.0,1.404063631182796,30.123655913978496,31.527719545161293
Bremerhaven,Kuwait,11594.0,1.404063631182796,31.166666666666668,32.570730297849465
Bremerhaven,Port Elizabeth,6833.8383,1.404063631182796,18.37053306451613,19.77459669569893
Bremerhaven,Santander,983.3910000000004,1.404063631182796,2.643524193548388,4.047587824731185
Bremerhaven,Sohar,10980.0,1.404063631182796,29.516129032258064,30.92019266344086
Bremerhaven,Southampton,450.2121,1.404063631182796,1.2102475806451614,2.6143112118279577
Dammam,Abu Dhabi,283.0,1.888888888888889,0.8422619047619048,2.731150793650794
Dammam,Bahrain,72.57210000000005,1.888888888888889,0.215988392857143,2.104877281746032
Dammam,Hamad Port,168.9462,1.888888888888889,0.5028160714285714,2.3917049603174605
Dammam,Jebel Ali,290.9176000000001,1.888888888888889,0.8658261904761908,2.75471507936508
Durban,Abu Dhabi,4048.000000000003,1.981929087912088,10.881720430107535,12.863649518019622
Durban,Bahrain,4205.2426,1.981929087912088,11.304415591397849,13.286344679309936
Durban,Dammam,4232.956,1.981929087912088,11.378913978494625,13.360843066406712
Durban,Hamad Port,4170.0176,1.981929087912088,11.209724731182796,13.191653819094883
Durban,Jebel Ali,4011.066400000002,1.981929087912088,10.782436559139791,12.764365647051878
Durban,Kuwait,4394.1097,1.981929087912088,11.812122849462366,13.794051937374453
Durban,Sohar,3804.0847,1.981929087912088,10.226034139784947,12.207963227697034
Gothenburg,Abu Dhabi,11458.0,0.8290971,30.801075268817204,31.630172368817203
Gothenburg,Antwerp,570.7575,0.8290971,1.5342943548387098,2.36339145483871
Gothenburg,Bahrain,11729.0,0.8290971,31.52956989247312,32.35866699247312
Gothenburg,Bremerhaven,367.3366,0.8290971,1.0932636904761903,1.9223607904761904
Gothenburg,Dammam,11649.0,0.8290971,31.31451612903226,32.14361322903226
Gothenburg,Durban,7448.651,0.8290971,20.023255376344085,20.852352476344084
Gothenburg,Hamad Port,11577.0,0.8290971,31.120967741935484,31.950064841935482
Gothenburg,Hamburg,409.8116,0.8290971,1.1016440860215053,1.9307411860215054
Gothenburg,Jebel Ali,11432.0,0.8290971,30.731182795698924,31.560279895698923
Gothenburg,Kuwait,11820.0,0.8290971,31.774193548387096,32.603290648387095
Gothenburg,Port Elizabeth,7076.4207,0.8290971,19.02263629032258,19.85173339032258
Gothenburg,Santander,1225.973500000001,0.8290971,3.2956276881720457,4.1247247881720455
Gothenburg,Sohar,11206.0,0.8290971,30.123655913978496,30.952753013978494
Gothenburg,Southampton,687.5453,0.8290971,1.848240053763441,2.6773371537634407
Hamad Port,Abu Dhabi,177.2904,0.28559025,0.5276500000000001,0.81324025
Hamad Port,Jebel Ali,199.5847,0.28559025,0.5940020833333334,0.8795923333333333
Hamburg,Abu Dhabi,11280.0,0.3814813333333333,30.322580645161292,30.704061978494625
Hamburg,Antwerp,385.0957000000003,0.3814813333333333,1.1461181547619057,1.527599488095239
Hamburg,Bahrain,11544.0,0.3814813333333333,31.032258064516128,31.41373939784946
Hamburg,Bremerhaven,112.2317,0.3814813333333333,0.33402291666666667,0.71550425
Hamburg,Dammam,11471.0,0.3814813333333333,30.836021505376344,31.217502838709677
Hamburg,Durban,7263.4233,0.3814813333333333,19.525331451612903,19.906812784946236
Hamburg,Hamad Port,11386.0,0.3814813333333333,30.607526881720432,30.989008215053765
Hamburg,Jebel Ali,11257.0,0.3814813333333333,30.260752688172044,30.642234021505377
Hamburg,Kuwait,11645.0,0.3814813333333333,31.303763440860216,31.68524477419355
Hamburg,Port Elizabeth,6891.193000000004,0.3814813333333333,18.52471236559141,18.906193698924742
Hamburg,Santander,1040.7457,0.3814813333333333,2.7977034946236556,3.179184827956989
Hamburg,Sohar,11031.0,0.3814813333333333,29.653225806451612,30.034707139784945
Hamburg,Southampton,507.5668000000002,0.3814813333333333,1.3644268817204308,1.7459082150537641
Kuwait,Abu Dhabi,458.4604,0.5332798461538462,1.2324204301075268,1.765700276261373
Kuwait,Bahrain,265.2762,0.5332798461538462,0.7895125000000001,1.3227923461538462
Kuwait,Dammam,227.8107,0.5332798461538462,0.6780080357142857,1.2112878818681319
Kuwait,Hamad Port,359.8093,0.5332798461538462,1.070861011904762,1.604140858058608
Kuwait,Jebel Ali,467.4519000000001,0.5332798461538462,1.2565911290322582,1.7898709751861044
Port Elizabeth,Abu Dhabi,4427.4841,1.066418738095238,11.901838978494622,12.96825771658986
Port Elizabeth,Bahrain,4577.8136,1.066418738095238,12.30595053763441,13.372369275729646
Port Elizabeth,Dammam,4605.527000000003,1.066418738095238,12.38044892473119,13.446867662826428
Port Elizabeth,Durban,386.7749,1.066418738095238,1.151115773809524,2.217534511904762
Port Elizabeth,Hamad Port,4542.588600000001,1.066418738095238,12.211259677419358,13.277678415514597
Port Elizabeth,Jebel Ali,4383.6374,1.066418738095238,11.783971505376343,12.85039024347158
Port Elizabeth,Kuwait,4766.680800000002,1.066418738095238,12.813658064516135,13.880076802611374
Port Elizabeth,Sohar,4176.655700000001,1.066418738095238,11.227569086021509,12.293987824116748
Santander,Abu Dhabi,10472.0,0.6518056,28.150537634408604,28.802343234408603
Santander,Bahrain,10747.0,0.6518056,28.88978494623656,29.54159054623656
Santander,Dammam,10663.0,0.6518056,28.663978494623656,29.315784094623655
Santander,Durban,6465.9178,0.6518056,17.381499462365593,18.033305062365592
Santander,Hamad Port,10578.0,0.6518056,28.43548387096774,29.08728947096774
Santander,Jebel Ali,10428.0,0.6518056,28.032258064516128,28.684063664516128
Santander,Kuwait,10830.0,0.6518056,29.112903225806452,29.76470882580645
Santander,Port Elizabeth,6094.3568,0.6518056,16.38267956989247,17.03448516989247
Santander,Sohar,10221.0,0.6518056,27.475806451612904,28.127612051612903
Sohar,Abu Dhabi,297.6051000000001,0.6229166428571429,0.8857294642857146,1.5086461071428574
Sohar,Bahrain,447.9346,0.6229166428571429,1.2041252688172042,1.827041911674347
Sohar,Dammam,475.648,0.6229166428571429,1.2786236559139785,1.9015402987711214
Sohar,Hamad Port,412.7096,0.6229166428571429,1.1094344086021506,1.7323510514592935
Sohar,Jebel Ali,253.7584,0.6229166428571429,0.7552333333333333,1.378149976190476
Sohar,Kuwait,636.8018,0.6229166428571429,1.7118327956989245,2.3347494385560674
Southampton,Abu Dhabi,10794.0,0.5782348547008548,29.016129032258064,29.59436388695892
Southampton,Bahrain,11044.0,0.5782348547008548,29.688172043010752,30.266406897711608
Southampton,Dammam,10985.0,0.5782348547008548,29.52956989247312,30.107804747173976
Southampton,Durban,6762.569600000003,0.5782348547008548,18.178950537634417,18.757185392335273
Southampton,Hamad Port,10900.0,0.5782348547008548,29.301075268817204,29.87931012351806
Southampton,Jebel Ali,10750.0,0.5782348547008548,28.897849462365592,29.476084317066448
Southampton,Kuwait,11151.0,0.5782348547008548,29.975806451612904,30.55404130631376
Southampton,Port Elizabeth,6391.008600000003,0.5782348547008548,17.1801306451613,17.758365499862155
