from_port,to_port,distance_nm,port_time_days,sailing_time_days,total_arc_time_days
Amsterdam,Bremerhaven,218.6406,0.9571296,0.6507160714285715,1.6078456714285716
Amsterdam,Newcastle,289.2630000000001,0.9571296,0.860901785714286,1.818031385714286
Barcelona,Amsterdam,1974.0025,0.78038175,5.3064583333333335,6.086840083333334
Barcelona,Bremerhaven,2147.2888,0.78038175,5.772281720430107,6.552663470430107
Barcelona,Bristol,1722.8027,0.78038175,4.631190053763441,5.411571803763441
Barcelona,Newcastle,2105.72,0.78038175,5.660537634408602,6.440919384408602
Barcelona,Zeebrugge,1891.772600000001,0.78038175,5.085410215053766,5.865791965053766
Bristol,Amsterdam,635.006,1.125,1.707005376344086,2.8320053763440862
Bristol,Bremerhaven,807.623,1.125,2.171029569892473,3.296029569892473
Bristol,Newcastle,756.9947,1.125,2.034931989247312,3.159931989247312
Bristol,Zeebrugge,543.0472000000001,1.125,1.459804301075269,2.584804301075269
Djen-Djen,Amsterdam,2009.4069,1.0,5.401631451612903,6.401631451612903
Djen-Djen,Barcelona,322.923,1.0,0.9610803571428571,1.961080357142857
Djen-Djen,Bremerhaven,2182.0239,1.0,5.865655645161291,6.865655645161291
Djen-Djen,Bristol,1758.207100000001,1.0,4.726363172043014,5.726363172043014
Djen-Djen,Newcastle,2141.1244,1.0,5.755710752688173,6.755710752688173
Djen-Djen,Zeebrugge,1927.177,1.0,5.180583333333333,6.180583333333333
Hitachinaka,Amsterdam,12461.0,0.8236235818181817,33.49731182795699,34.320935409775174
Hitachinaka,Barcelona,12458.0,0.8236235818181817,33.48924731182796,34.31287089364614
Hitachinaka,Bremerhaven,12642.0,0.8236235818181817,33.983870967741936,34.80749454956012
Hitachinaka,Bristol,12132.0,0.8236235818181817,32.61290322580645,33.43652680762463
Hitachinaka,Djen-Djen,12496.0,0.8236235818181817,33.59139784946237,34.41502143128055
Hitachinaka,Kobe,439.9359,0.8236235818181817,1.1826233870967742,2.006246968914956
Hitachinaka,Livorno,14345.0,0.8236235818181817,38.56182795698925,39.38545153880743
Hitachinaka,Newcastle,14757.0,0.8236235818181817,39.66935483870968,40.49297842052786
Hitachinaka,Omaezaki,205.211,0.8236235818181817,0.6107470238095238,1.4343706056277057
Hitachinaka,Taicang,1133.3189,0.8236235818181817,3.046556182795699,3.8701797646138805
Hitachinaka,Valletta,14459.0,0.8236235818181817,38.86827956989247,39.691903151710655
Hitachinaka,Yokohama,163.0122,0.8236235818181817,0.4851553571428572,1.308778938961039
Hitachinaka,Zeebrugge,14516.0,0.8236235818181817,39.02150537634409,39.84512895816227
Kobe,Amsterdam,12834.0,0.7051338952380952,34.5,35.20513389523809
Kobe,Barcelona,12848.0,0.7051338952380952,34.53763440860215,35.24276830384025
Kobe,Bremerhaven,13014.0,0.7051338952380952,34.983870967741936,35.68900486298003
Kobe,Bristol,12505.0,0.7051338952380952,33.615591397849464,34.32072529308756
Kobe,Djen-Djen,12869.0,0.7051338952380952,34.594086021505376,35.29921991674347
Kobe,Livorno,13200.0,0.7051338952380952,35.483870967741936,36.18900486298003
Kobe,Newcastle,12478.0,0.7051338952380952,33.543010752688176,34.24814464792627
Kobe,Taicang,766.4189,0.7051338952380952,2.0602658602150536,2.765399755453149
Kobe,Valletta,13314.0,0.7051338952380952,35.79032258064516,36.49545647588326
Kobe,Zeebrugge,12741.0,0.7051338952380952,34.25,34.95513389523809
